compliance_id,veh_id,veh_name,market_class,fueling_class,techNo,base_year_market_share,market_class_share_frac,project_sales,base_year_msrp_dollars,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
Mazda,Maz_2-4,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,27,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,5.923553327832482,36.59460102876202,30.671047700929535,157.0747690354061,170.87476903540608,0.0,228.69937374734877,0.0,28881.11326508262,30716.362958724774,0.0015833254202651304,2772.3028118974585,160.95733181011536,45.524834401861995
Mazda,Maz_2-5,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,34,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,10.478555719805046,36.59460102876202,26.116045308956974,133.7473641273198,147.5473641273198,0.0,191.17310685734597,0.0,32930.64266580944,34408.84166882769,1.0945189729669784,2813.256002494295,163.30886979703652,45.524834401861995
Mazda,Maz_2-6,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,41,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,10.853555062635493,36.59460102876202,25.741045966126524,131.8268906000416,145.62689060004163,0.0,195.19520050906905,0.0,34551.13990776727,36067.607873704525,1.1017591411226768,2813.256002494295,163.30886979703652,45.524834401861995
Mazda,Maz_3-0,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,0,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,101.57468505079049,91.93024955079049,-9.6444355,-24.4,-7.2,0.24341764916507225,0.0,0.32913099300414206,55781.04589626674,57910.04674906262,102.49164175371463,5016.403481980242,261.97065494900363,45.50973974731065
Mazda,Maz_3-1,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,4,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,107.59003834232449,97.94560284232449,-9.6444355,-24.4,-7.2,0.24512786939959122,0.0,0.33096578604346855,57019.115265306085,58491.426520207526,103.2117344840384,5202.869922925153,271.8085070409113,48.83984494126394
Mazda,Maz_3-2,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,5,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,110.00087808412154,100.35644258412154,-9.6444355,-24.4,-7.2,0.24579369037611185,0.0,0.331682119689235,57882.25105615558,59091.276834382625,103.49208015836288,5276.5556572815985,275.53262388541276,50.17448807141
Mazda,Maz_4-0,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,0,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,-1.296605041251805,52.53157117188029,53.82817621313209,238.32013022439105,255.52013022439107,0.0,318.7879855547716,0.0,38434.9253020024,41922.82864077942,0.0,3779.167195492384,197.37725123003622,45.50973974731065
Mazda,Maz_4-1,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,9,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,4.335953391832761,52.53157117188029,48.19561778004753,213.38240887276703,230.58240887276702,0.0,299.9083216819977,0.0,38956.30056864486,42264.583227469535,0.0,3779.167195492384,197.37725123003622,45.50973974731065
Mazda,Maz_4-2,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,17,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,6.469603103627091,52.53157117188029,46.061968068253194,203.9358380813902,221.13583808139018,0.0,292.90556149765314,0.0,39303.40117776356,42545.06287442945,0.0,3779.167195492384,197.37725123003622,45.50973974731065
Mazda,Maz_4-3,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,25,0.007926885035429335,0.6936771803717425,100956.43222782674,39073.0,1.0,14.400162968500975,57.34653861949802,42.94637565099705,190.14179111857544,207.34179111857543,0.0,286.9513205411587,0.0,42202.909075367585,44455.054673703635,0.005046622682120414,3685.425470023387,192.4830995693942,50.17448807141
