compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,-5.487342567,54.24575345,59.73309602,264.4637107,281.6637107,0,387.5888254,0,34351.90106,42199.17284,0,4182.958499,256.1702592,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,-4.977275867,54.24575345,59.22302932,262.2054294,279.4054294,0,386.2146117,0,34378.84801,42199.96937,0,4182.958499,256.1702592,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,-4.800137305,54.24575345,59.04589075,261.421162,278.621162,0,385.7038465,0,34389.19175,42200.59356,0,4182.958499,256.1702592,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,-4.028907714,54.24575345,58.27466116,258.006602,275.206602,0,383.6418638,0,34432.45025,42204.61383,0,4182.958499,256.1702592,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,-1.823811392,54.24575345,56.06956484,248.2437068,265.4437068,0,377.3614902,0,34569.87128,42222.52328,0,4153.220439,254.5507721,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,1.942549724,54.24575345,52.30320373,231.5684313,248.7684313,0,364.371415,0,34911.65993,42317.11925,0,4153.217558,254.5506447,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,4.018123317,54.24575345,50.22763013,222.378988,239.578988,0,356.5424795,0,35207.54296,42464.02254,0,4139.216331,253.9056647,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,6.972387423,54.24575345,47.27336603,209.2992098,226.4992098,0,352.0875002,0,35738.66088,42910.36499,0,4139.216331,253.9056647,47.17009237
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,10.67207512,57.03158565,46.35951053,205.2531845,222.4531845,0,348.7760553,0,37309.61334,43878.51898,0,3987.959409,244.3710142,49.86901116
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,16.24285134,59.23602632,42.99317499,190.3489916,207.5489916,0,334.7573178,0,40271.48189,46146.41667,0.462462278,4138.739081,253.4645344,52.00502684
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,17.68955954,59.23602632,41.54646678,183.9438017,201.1438017,0,314.198614,0,42722.69315,48206.40866,0.879217619,4138.739081,253.4645344,52.00502684
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,18.19371849,59.23602632,41.04230783,181.7116766,198.9116766,0,315.0982211,0,45335.92443,50836.75887,0.895902038,4138.739081,253.4645344,52.00502684
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,18.1940849,59.23602632,41.04194142,181.7100543,198.9100543,0,315.1180574,0,45349.08941,50850.30133,0.895902038,4138.739081,253.4645344,52.00502684
FCA,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1,18.19497324,59.23602632,41.04105308,181.7061213,198.9061213,0,315.2839589,0,45443.75693,50948.12585,0.895902038,4138.739081,253.4645344,52.00502684
FCA,composite vehicle (cuv_suv_van.ICE.truck.NO_ALT),cuv_suv_van.ICE,ICE,1,0.334940161,58.378942,58.04400184,256.9853755,274.1853755,0,397.4969176,0,38243.74951,45807.86716,0.197233845,4155.906186,268.6914567,51.17468216
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,56.99266267,72.34982246,15.3571598,67.99264957,-7.2,0.325323516,0,0.52284862,61378.60181,67343.93453,136.9783226,6607.600423,484.2470715,64.70969395
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,57.43203432,72.34982246,14.91778814,66.04736521,-7.2,0.321917447,0,0.518823988,61420.87117,67345.26672,135.5441883,6403.649933,468.8962093,64.70969395
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,57.54150689,72.34982246,14.80831557,65.56268377,-7.2,0.321068801,0,0.517820161,61432.07987,67346.26484,135.1868635,6352.168598,465.0511534,64.70969395
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,57.58639212,72.34982246,14.76343034,65.36395786,-7.2,0.320720844,0,0.517406137,61438.00861,67347.98227,135.0403555,6329.852928,463.6860753,64.70969395
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,57.63402456,72.34982246,14.7157979,65.15306888,-7.2,0.320351591,0,0.516971111,61447.54247,67353.0912,134.8848805,6307.093687,462.3508673,64.70969395
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,60.73019898,75.77869682,15.04849784,66.62607238,-7.2,0.322930727,0,0.520025138,62835.66048,68083.53796,135.9708322,6465.794479,473.9582879,68.15337274
FCA,composite vehicle (pickup.BEV.truck.ALT),pickup.BEV,BEV,1,60.89424757,76.02413536,15.12988778,66.98642014,-7.2,0.323561673,0,0.520772622,63159.41321,68252.46771,136.2364937,6504.188741,476.6956884,68.96550336
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,2.238300949,72.34982246,70.11152151,310.4133952,327.6133952,0,458.9708227,0,40689.5111,50068.94369,0,5040.963982,369.6454325,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,2.246061759,72.34982246,70.1037607,310.3790348,327.5790348,0,458.9340819,0,40690.19561,50068.94633,0,5040.963982,369.6454325,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,2.540845804,72.34982246,69.80897666,309.073901,326.273901,0,458.1377087,0,40705.79895,50069.41598,0,5040.963982,369.6454325,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,2.795279851,72.34982246,69.55454261,307.9474138,325.1474138,0,457.2847507,0,40722.83043,50070.2162,0,5040.963982,369.6454325,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,3.093710665,72.34982246,69.2561118,306.6261342,323.8261342,0,456.4915102,0,40739.79219,50072.1273,0,5040.963982,369.6454325,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,3.318351479,72.34982246,69.03147098,305.6315542,322.8315542,0,455.8529177,0,40756.43833,50076.62143,0,5040.963982,369.6454325,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,8.755144488,72.34982246,63.59467797,281.5605692,298.7605692,0,441.4563743,0,41194.47465,50240.70053,0,4730.900958,346.250835,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,11.87036996,72.34982246,60.4794525,267.7681469,284.9681469,0,431.2064615,0,41573.64968,50424.82614,0,4688.604038,343.7172448,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,15.49410257,72.34982246,56.85571989,251.7243481,268.9243481,0,425.7267096,0,42142.2641,50889.17494,0,4688.604038,343.7172448,64.70969395
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,18.00714422,75.63689388,57.62974966,255.1513057,272.3513057,0,428.5190751,0,43364.38135,51522.36041,0,4830.503617,354.160041,67.92003768
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,21.83626329,75.7845898,53.94832651,238.8520865,256.0520865,0,411.5322825,0,45228.22108,53012.72429,0.388032601,4898.848442,359.0045485,68.17154765
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,22.14111673,75.85166339,53.71054665,237.7993344,254.9993344,0,407.879536,0,45723.05645,53396.67697,0.450305127,4907.916235,359.5365253,68.3784137
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,22.18120192,76.02413536,53.84293344,238.3854667,255.5854667,0,408.4555891,0,45949.48035,53516.64487,0.450305127,4933.907853,361.5268497,68.96550336
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,22.1970463,76.02413536,53.82708906,238.3153169,255.5153169,0,408.7124861,0,46125.92493,53697.97805,0.450305127,4933.907853,361.5268497,68.96550336
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,22.26748301,76.02413536,53.75665235,238.0034638,255.2034638,0,405.5732221,0,47473.55449,54985.86328,0.530760646,4933.907853,361.5268497,68.96550336
FCA,composite vehicle (pickup.ICE.truck.ALT),pickup.ICE,ICE,1,22.38463639,76.02413536,53.63949897,237.4847762,254.6847762,0,393.7027839,0,51506.57103,58792.99281,0.807042482,4933.907853,361.5268497,68.96550336
